id,competition_id,group_label,team_id,played,won,drawn,lost,gf,ga,points,points_adjust,sort_order,qualification_label,qualification_color,updated_at,season
84950947-ccda-46fc-88f3-c243ce772dd7,792f150e-1c25-4f3c-878f-75536c7edd5b,,e834859a-a97d-47b8-88cc-6e58d04060e7,0,0,0,0,0,0,0,0,1,,,2026-08-20 21:04:07.752815+00,2026/2027
c2cf0c58-6721-4113-bead-fd892cc21b4a,792f150e-1c25-4f3c-878f-75536c7edd5b,,e62bea24-9251-4e69-b03b-b0f3fae6618f,0,0,0,0,0,0,0,0,2,,,2026-08-20 21:04:07.752815+00,2026/2027
d266a92f-a016-4f10-bcfa-b1ae795c346a,4cc0c0e4-24c2-40a7-9331-2a6de8b80553,,2cb7f23a-1619-4c10-85bd-64752154e13c,0,0,0,0,0,0,0,0,5,,,2026-08-17 21:59:19.861832+00,2026/2027
885aec4a-1248-4c67-b468-b55c4b940811,4cc0c0e4-24c2-40a7-9331-2a6de8b80553,,5ef202eb-daf0-49a1-b6dd-3c63e40df5de,0,0,0,0,0,0,0,0,6,,,2026-08-17 21:59:19.861832+00,2026/2027
c5c0fb8d-6ce6-482e-8946-f5429c777adc,4cc0c0e4-24c2-40a7-9331-2a6de8b80553,,31f1c93a-e72b-44b6-a8b8-39d8508575f8,0,0,0,0,0,0,0,0,7,,,2026-08-17 21:59:19.861832+00,2026/2027
278cf438-abdc-4cc8-827e-673043cff12d,4cc0c0e4-24c2-40a7-9331-2a6de8b80553,,bc724b72-7774-45a7-8af4-1ad5a0b51e01,0,0,0,0,0,0,0,0,2,,,2026-08-13 00:57:43.646389+00,2026/2027
c9130955-68dc-458d-badf-b985c6c5534d,4cc0c0e4-24c2-40a7-9331-2a6de8b80553,,4ba35c2a-39ee-4dce-94ca-72273c1a5311,0,0,0,0,0,0,0,0,3,,,2026-08-13 00:57:43.646389+00,2026/2027
9bbee64a-dc56-456c-8465-30dd095a5308,4cc0c0e4-24c2-40a7-9331-2a6de8b80553,,8e369144-5cb6-4beb-9949-3187473b81d4,0,0,0,0,0,0,0,0,4,,,2026-08-13 00:57:43.646389+00,2026/2027
55c4cf81-4023-47a0-9c00-e67d9408e577,4cc0c0e4-24c2-40a7-9331-2a6de8b80553,,707810f5-70e9-4906-87e5-6288089afb79,0,0,0,0,0,0,0,0,5,,,2026-08-13 00:57:43.646389+00,2026/2027
f79b4794-5d23-47da-89f4-b8510ad90985,4cc0c0e4-24c2-40a7-9331-2a6de8b80553,,05925c38-07ac-40a1-8fa8-e81c7298ee18,0,0,0,0,0,0,0,0,7,,,2026-08-20 21:08:36.404992+00,2026/2027
293b0557-d7bc-4f26-b369-4828aefab430,246d74c1-2746-40bf-ad75-cdff6fb0fe0e,Group A,44887540-58a4-40e1-b34d-48460b3aa821,0,0,0,0,0,0,0,0,1,,,2026-08-17 22:00:14.1315+00,2026
e7ca10a3-7a04-4676-8861-4272c23d4f9d,246d74c1-2746-40bf-ad75-cdff6fb0fe0e,Group A,c6c817b2-8f2c-499c-b02a-34f7736579df,0,0,0,0,0,0,0,0,2,,,2026-08-17 22:00:14.1315+00,2026
b5b4f765-3c0a-4c0d-8314-03098f5e4641,246d74c1-2746-40bf-ad75-cdff6fb0fe0e,Group A,18da094d-7bfa-4077-932c-28123cfd0912,0,0,0,0,0,0,0,0,3,,,2026-08-17 22:00:14.1315+00,2026
